transaction_id,client_id,client_prenom,client_nom,montant,anomaly_score,explication
49167,865,Julien,Coulon,689.22,-3.773554607677809e-07,Transaction non récurrente
12174,927,Julien,Germain,725.41,-2.5532683650686394e-06,Transaction non récurrente
23778,689,Michèle,Valentin,828.86,-9.04073997642918e-06,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
10390,471,Lucie,Leduc,370.23,-1.044168778641108e-05,Transaction non récurrente
18787,494,Jean,Blanchard,354.24,-2.101993605008179e-05,Transaction non récurrente
38760,13,Manon,Torres,148.37,-3.217270900690572e-05,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
13880,757,David,Delorme,145.32,-3.450331608390034e-05,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
8493,587,Nathalie,Pelletier,610.33,-3.81767108352804e-05,Transaction non récurrente
28740,91,Michel,Gauthier,593.96,-4.4544083163899906e-05,Transaction non récurrente
5076,450,Lorraine,Huet,421.59,-4.95594679839062e-05,Transaction non récurrente
13845,59,Théophile,Texier,867.05,-6.166409042740462e-05,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
19016,380,Claudine,Martinez,994.84,-7.306765553360961e-05,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
32900,856,Inès,Charpentier,419.0,-8.601161515653377e-05,Transaction non récurrente
28933,122,Zoé,Lefebvre,732.74,-8.819914047808464e-05,Transaction non récurrente
12552,695,Paul,Marin,898.18,-8.94900135717247e-05,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
20107,195,Sylvie,Adam,360.57,-9.079434360736993e-05,Transaction non récurrente
48857,976,Franck,Goncalves,850.19,-9.215939185325261e-05,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
39824,386,Catherine,Dijoux,503.71,-0.00010571349899979321,Transaction non récurrente
143,170,Raymond,Michaud,967.11,-0.00010865856379371763,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
21221,151,Christine,Imbert,397.16,-0.00011104007979079178,Transaction non récurrente
8994,468,Frédérique,Bernier,974.77,-0.00011212790934256311,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
15835,786,Olivie,Ribeiro,703.64,-0.00012416638536061342,Transaction non récurrente
47307,504,Agnès,Martineau,855.64,-0.0001242721935037494,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
39595,108,Margot,Barthelemy,720.55,-0.0001309858897690086,Montant très différent de la moyenne client; Transaction non récurrente
4995,21,Édith,Giraud,959.32,-0.00015851029799396343,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
43954,809,Suzanne,Rossi,478.79,-0.00016714552024854612,Transaction non récurrente
49653,333,Isaac,Bouchet,873.97,-0.00020676551050691216,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
34529,438,Lucas,Julien,84.87,-0.00022451844809456833,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
21411,413,Alain,Seguin,412.32,-0.00023524492103510486,Transaction non récurrente
15527,717,Juliette,Gérard,207.02,-0.00023941747876998765,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
32024,186,Luce,Schneider,954.86,-0.00023978136535585115,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
18467,780,Laure,Mercier,228.38,-0.00024556181094470553,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
26858,462,Henriette,Reynaud,646.5,-0.0002546808194525685,Transaction non récurrente
1433,113,Agnès,Morin,863.39,-0.000276205490503445,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
2245,558,Dominique,Adam,969.92,-0.0002795172911688182,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
5477,587,Nathalie,Pelletier,251.93,-0.0002810260247002594,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
47975,814,Françoise,Bonnin,464.53,-0.00028118693112000326,Transaction non récurrente
41915,829,Céline,Coste,449.3,-0.0002999521109361414,Transaction non récurrente
17896,82,Michel,Bailly,342.08,-0.00030276893020275697,Transaction non récurrente
31886,389,Inès,Valentin,331.88,-0.00030647183886267637,Transactions très rapprochées; Transaction non récurrente
1673,380,Claudine,Martinez,411.45,-0.00031326755107230486,Transaction non récurrente
25068,236,Adèle,Bazin,45.31,-0.00031809098728474705,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
16560,860,Luc,Salmon,575.81,-0.0003209782273102535,Transaction non récurrente
1889,420,Adèle,Brunet,691.74,-0.0003242314590241602,Montant très différent de la moyenne client; Transaction non récurrente
18273,587,Nathalie,Pelletier,938.6,-0.0003349611703836741,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
16962,206,Xavier,Mathieu,831.83,-0.00033565643610056206,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
21139,611,Corinne,Martin,430.47,-0.0003412718773644352,Transaction non récurrente
21325,865,Julien,Coulon,987.45,-0.0003452741637257617,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
15896,40,Nathalie,Faure,225.38,-0.00035764360853651755,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
21081,186,Luce,Schneider,882.43,-0.000364868909495053,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
15545,572,Grégoire,Schmitt,273.64,-0.00036492376483221456,Transaction non récurrente
27457,911,Clémence,Lejeune,946.76,-0.000376539993698799,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
21509,252,Arnaude,Collin,842.28,-0.0003768662412620971,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
2121,883,Sébastien,Guillot,696.36,-0.00038123254886412994,Transaction non récurrente
8619,136,Michel,Lejeune,258.45,-0.00038622999711990236,Transaction non récurrente
31842,161,Michelle,Techer,350.01,-0.000387494339443184,Transaction non récurrente
39229,679,Charlotte,Rousset,149.14,-0.0003885539626080625,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
23272,144,Marguerite,De Oliveira,22.4,-0.00038999510607740095,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transactions très rapprochées; Transaction non récurrente
26202,601,Benoît,Henry,966.19,-0.00040628123560570994,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
37524,161,Michelle,Techer,417.02,-0.00041169950565644875,Transaction non récurrente
651,101,Thibault,Ruiz,638.24,-0.0004164818638991985,Transaction non récurrente
24772,564,Roger,Didier,842.77,-0.00042225983486687824,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
3903,43,Alexandre,Marty,700.63,-0.0004332038018324269,Transaction non récurrente
44963,914,Constance,Evrard,678.21,-0.00043688267174690765,Transaction non récurrente
1663,818,Adélaïde,Mace,734.27,-0.00044838325034257664,Transaction non récurrente
25361,956,Stéphane,Lenoir,6.42,-0.0004645796569001659,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
17028,915,William,Fournier,978.36,-0.00046523476635551564,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
48695,911,Clémence,Lejeune,775.08,-0.0004697288660938659,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
3736,890,Suzanne,Dos Santos,841.97,-0.00047747068302439466,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
40828,333,Isaac,Bouchet,363.6,-0.000497440714236741,Transaction non récurrente
11318,354,Valérie,Barthelemy,616.36,-0.00052293262678893,Transaction non récurrente
4099,613,Isabelle,Gauthier,643.69,-0.0005298667053910133,Transaction non récurrente
30148,802,Isaac,Leconte,97.79,-0.000548517251150682,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
15038,127,Patricia,Lebreton,941.83,-0.0005488337885877215,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
5361,406,Isaac,Hoareau,220.34,-0.0005491930329851735,Montant très différent de la moyenne commerçant; Transaction non récurrente
28751,951,Philippe,Gonzalez,444.83,-0.000569627053352173,Transaction non récurrente
40948,931,Henriette,Diallo,85.25,-0.000571825648332136,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
41946,105,Louise,Merle,329.92,-0.0005739711589820562,Transaction non récurrente
23510,637,Louis,Louis,869.19,-0.0005893552778580835,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
48145,595,Corinne,Reynaud,69.93,-0.0005902120565849378,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
598,58,Margot,Valette,45.05,-0.0005999799739891953,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
44005,376,Anaïs,Gautier,945.98,-0.0006006468297973244,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
34477,184,Michèle,Mercier,654.93,-0.0006095769043625854,Transaction non récurrente
26947,401,Georges,Moulin,712.69,-0.0006185631805123437,Transaction non récurrente
6000,974,Susan,Voisin,195.58,-0.0006301526050908057,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
4625,685,Julien,Lagarde,220.03,-0.0006325332144070384,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
27325,178,Anastasie,Dumont,810.36,-0.0006494426641495687,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
21516,595,Corinne,Reynaud,825.42,-0.0006661691920906154,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
1417,155,Georges,Robert,500.62,-0.0006730934313452508,Transaction non récurrente
23874,138,Véronique,Pichon,620.58,-0.0007032227923244871,Transaction non récurrente
9409,884,Victor,Thomas,368.95,-0.000705535642355315,Transaction non récurrente
5008,546,Jeanne,Pages,814.9,-0.000706038506096518,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
23127,245,Guy,Lecoq,42.37,-0.0007136200774948698,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
11614,464,Nath,Guyot,305.39,-0.0007146656398793194,Transaction non récurrente
42370,298,Roger,Petitjean,133.58,-0.0007221632713941828,Montant très différent de la moyenne client; Montant très différent de la moyenne commerçant; Transaction non récurrente
